poiId,poiName
1695653,용인자연휴양림
462443,NC백화점야탑점
2581325,롯데아울렛이시아폴리스점
6802297,옥연지송해공원
521840,탄천종합운동장
2818609,여수세계박람회장
10173777,올데이CC
7977591,롯데마트양평점
253993,영랑호리조트
551683,이마트연제점
2917195,세종고속시외버스터미널
1819547,화성종합경기타운
6787711,서울식물원
2369500,롯데아울렛광주수완점
993603,서대문자연사박물관
366064,고수동굴
8031436,알파카월드
504551,NC백화점고잔점
1141915,홈플러스인하점
1591929,롯데마트평택점
2799910,이마트서산점
5742643,대룡시장
216815,행복한백화점
566637,렛츠런파크부산경남
221582,홈플러스일산점
2949589,이마트천안서북점
687154,대구수목원
126275,송추CC
558767,이마트창원점
1461240,설해원CC
7958172,트리플스트리트A동
1145934,클럽72CC하늘코스
551860,홈플러스센텀시티점
376541,전주동물원
557967,모슬포항
1552080,이마트안성점
504530,홈플러스김해점
1433090,홈플러스김포풍무점
372208,경산역
2912494,롯데마트계양점
1370997,HD현대중공업
4091106,하나로마트수원점
1023963,해비치CC
1085989,이마트사상점
2979976,가든파이브툴
7887862,레고랜드코리아리조트
310936,파크밸리GC
5394892,소노펠리체CC비발디파크이스트
8345055,스타필드시티명지
2851835,마리오아울렛3관
1113541,이마트양주점
2293198,오죽헌
1128405,설악썬밸리CC
5391257,동궁과월지
737756,신기시장
8917614,블랙스톤벨포레CC
2996992,홈플러스오산점
501086,대구역
386106,롯데백화점포항점
136876,세이백화점본점
526953,외암리민속마을
1552170,홈플러스파주문산점
310827,남부CC
1457426,대천항수산시장
1023972,해운대CC
1696227,잭니클라우스GC코리아
3402067,휴애리자연생활공원
396933,설악워터피아
10174333,아르떼뮤지엄제주
1698276,모다아울렛대전점
192302,국립현대미술관과천관
2400756,홈플러스부산정관점
374598,세이브존성남점
380157,2001아울렛부평점
1471998,롯데마트대덕점
2979452,모다아울렛천안아산점
5783805,롯데백화점에비뉴엘월드타워점
1553825,홈플러스오창점
226941,안산농수산물도매시장
310899,용원골프클럽
181902,융릉과건릉
2744725,웰링턴CC
1948068,하늘물빛정원
504542,이마트진주점
1584485,LG전자서초R&D캠퍼스
48171,신정호수공원
6541101,신세계센텀시티몰
428878,동화경모공원
5307611,롯데마트판교점
2586299,블루원워터파크
1167109,롯데마트구미점
247321,봉선사
7842010,LF스퀘어광양점
1945977,탑스텐리조트동강시스타
525909,홈플러스울산점
387784,설봉공원
1133504,롯데백화점에비뉴엘본점
25721,만석공원
403859,양양국제공항
5665065,BMW드라이빙센터
2814767,AK플라자원주
1556468,타임스트림
1521825,그레이스CC
268553,남부시장
2241307,스타시티
558109,의정부제일시장
6504442,국립부산과학관
1208927,롯데마트영종도점
193453,안양컨트리클럽
1587990,오크힐스CC
7148700,현대모터스튜디오고양
1088180,롯데마트통영점
183377,서대문형무소역사관
504529,홈플러스창원점
5391133,팔당물안개공원
1576962,구리한강시민공원
1172431,고창CC
550833,신거북시장
1469667,프린세스GC
6147815,한양파인CC
146886,두류공원
557384,코리아퍼블릭CC
187714,도산공원
551441,울산대공원
6541480,이마트과천점
1195150,롯데마트안성점
140111,인천국제CC
2486558,인천어린이과학관
1620258,한림대학교춘천성심병원
502567,롯데마트부평역점
967885,세정아울렛
1856275,롯데마트검단점
368573,거진항
398953,홈플러스천안신방점
3808,경주CC
310903,통도파인이스트CC
305078,우정힐스CC
2872904,벡스코제2전시장
367995,롯데백화점마산점
